numRequests,tamanhoResposta,totalImageSize,RequestsJS,RequestsHTML,RequestsCSS,avgNumRequests,avgTamanhoResposta,avgTotalImageSize,avgRequestsJS,avgRequestsHTML,avgRequestsCSS,totalSilenceTime,avgSilenceTime,silenceCount,Label
13,342338,334632,0,3,0,1.3,34233.8,33463.2,0,0.3,0,154,77,2,0
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,0
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,0
10,120909,115892,0,1,0,1,12090.9,11589.2,0,0.1,0,0,0,0,0
32,1217520,1093705,10,1,4,3.2,121752,109370.5,1,0.1,0.4,17,17,1,0
41,1230181,1096155,16,2,4,4.1,123018.1,109615.5,1.6,0.2,0.4,73,24.33333333,3,0
49,1238604,1096155,22,4,4,4.9,123860.4,109615.5,2.2,0.4,0.4,117,23.4,5,0
131,6413829,6202326,31,5,5,13.1,641382.9,620232.6,3.1,0.5,0.5,200,25,8,0
131,6413829,6202326,31,5,5,13.1,641382.9,620232.6,3.1,0.5,0.5,200,25,8,0
99,5196309,5108621,21,4,1,9.9,519630.9,510862.1,2.1,0.4,0.1,130,21.66666667,6,0
90,5183648,5106171,15,3,1,9,518364.8,510617.1,1.5,0.3,0.1,100,25,4,0
82,5175225,5106171,9,1,1,8.2,517522.5,510617.1,0.9,0.1,0.1,36,18,2,0
5,92001,87189,0,2,0,0.5,9200.1,8718.9,0,0.2,0,41,20.5,2,0
5,92001,87189,0,2,0,0.5,9200.1,8718.9,0,0.2,0,41,20.5,2,0
8,192235,182145,0,3,0,0.8,19223.5,18214.5,0,0.3,0,142,47.33333333,3,0
8,192235,182145,0,3,0,0.8,19223.5,18214.5,0,0.3,0,142,47.33333333,3,0
6,150109,141596,0,2,0,0.6,15010.9,14159.6,0,0.2,0,130,65,2,0
8,102670,97392,0,1,0,0.8,10267,9739.2,0,0.1,0,175,87.5,2,0
8,102670,97392,0,1,0,0.8,10267,9739.2,0,0.1,0,175,87.5,2,0
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,0
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,0
5,2436,2436,0,0,0,0.5,243.6,243.6,0,0,0,4,4,1,0
4,1949,0,4,0,0,0.4,194.9,0,0.4,0,0,0,0,0,0
44,1584398,1271750,15,8,10,4.4,158439.8,127175,1.5,0.8,1,292,41.71428571,7,1
40,1635306,1364698,13,7,10,4,163530.6,136469.8,1.3,0.7,1,241,40.16666667,6,1
40,1633096,1402959,12,8,10,4,163309.6,140295.9,1.2,0.8,1,274,39.14285714,7,1
41,1793165,1596545,13,7,9,4.1,179316.5,159654.5,1.3,0.7,0.9,230,38.33333333,6,1
56,1943662,1600937,19,8,16,5.6,194366.2,160093.7,1.9,0.8,1.6,274,39.14285714,7,1
54,1871814,1606118,17,7,15,5.4,187181.4,160611.8,1.7,0.7,1.5,232,38.66666667,6,1
70,1794810,1358756,24,8,19,7,179481,135875.6,2.4,0.8,1.9,281,40.14285714,7,1
73,1816830,1385168,23,7,19,7.3,181683,138516.8,2.3,0.7,1.9,238,39.66666667,6,1
90,2499866,2073868,20,8,17,9,249986.6,207386.8,2,0.8,1.7,279,39.85714286,7,1
81,2376912,2076979,14,7,13,8.1,237691.2,207697.9,1.4,0.7,1.3,243,40.5,6,1
79,2438791,2156544,11,8,12,7.9,243879.1,215654.4,1.1,0.8,1.2,280,40,7,1
61,2054574,1941053,3,7,8,6.1,205457.4,194105.3,0.3,0.7,0.8,244,40.66666667,6,1
